,Model,MAE,MAPE in %
0,Naive Model,0.0049597629566782,0.3749313470359464
1,MA5,0.0117545107222095,0.8938362934811076
2,MA20,0.0242644735832804,1.8433395852777277
3,"ARIMA (0,1,0)",0.0069056965641139,0.5220365593409645
4,"Linear model (MA5, MA20)",0.005924066504256551,0.45782946712743733
